Word,Top_10_Similar_Words,Similarity_Scores
Hadoop,"['AI', 'IP', 'CRM', 'OTT', 'SCI', '爱建', 'EVA', 'C919', 'O2O', 'HIS']","[0.8843241333961487, 0.8670508861541748, 0.8600600361824036, 0.8515852689743042, 0.849107027053833, 0.8487396240234375, 0.8477853536605835, 0.847355842590332, 0.8469967842102051, 0.8461881279945374]"
知识表示,"['知识', '认知', '意识', '意味', '标识', '知识图谱', '专业知识', '表达', '知晓', '指示']","[0.8552332520484924, 0.8222500681877136, 0.8205571174621582, 0.8013581037521362, 0.7954165935516357, 0.7895965576171875, 0.7871993780136108, 0.7825154066085815, 0.7809481620788574, 0.77911376953125]"
智能芯片,"['智能', '芯片', '智能化', '技术升级', '高性能', '核心技术', '智能手机', '终端产品', '电池板', '技术革新']","[0.8139761686325073, 0.8134359121322632, 0.807438850402832, 0.8012500405311584, 0.7985463738441467, 0.7983768582344055, 0.7800028324127197, 0.7559217214584351, 0.7543982267379761, 0.7536015510559082]"
物联网,"['物联网', '互联网', '联网', '智能化', '信息化', '网络科技', '智能网', '数字化', '互联', '多媒体']","[0.980255663394928, 0.8587520122528076, 0.790989100933075, 0.78843092918396, 0.7724988460540771, 0.7685078382492065, 0.7657562494277954, 0.7551301717758179, 0.7542866468429565, 0.7498607635498047]"
云计算,"['云计算', '人工智能', '物联网', '信息化', '智能化', '数据管理', '数字化', '深度学习', '数据中心', '计算机']","[0.9266960024833679, 0.7176541090011597, 0.712739884853363, 0.67583167552948, 0.6622020602226257, 0.6616107225418091, 0.6615344285964966, 0.6569943428039551, 0.6538050174713135, 0.6532566547393799]"
智能传感器,"['传感器', '智能化', '智能', '人工智能', '多媒体', '多功能', '高性能', '智能手机', '高精度', '数码产品']","[0.8952337503433228, 0.779760479927063, 0.7623737454414368, 0.7541520595550537, 0.7459449768066406, 0.7334336042404175, 0.7309116125106812, 0.7292802333831787, 0.7252587080001831, 0.7244107723236084]"
模式识别,"['识别', '模式', '模块化', '诊断系统', '自动驾驶', '监测技术', '传感器', '智能', '智能化', '人工智能']","[0.7841976881027222, 0.7238023281097412, 0.7174913883209229, 0.7087334990501404, 0.6892017126083374, 0.6806819438934326, 0.6785037517547607, 0.6711272597312927, 0.6685357093811035, 0.6622729301452637]"
边缘计算,"['边缘计算', '计算', '计算方法', '测算', '估算', '线性', '边际', '计量', '算法', '计数']","[0.8631960153579712, 0.8267279863357544, 0.8006337881088257, 0.797692596912384, 0.7835221290588379, 0.767673134803772, 0.764991283416748, 0.7584762573242188, 0.7583699226379395, 0.7574759721755981]"
可穿戴产品,"['电子产品', '终端产品', '数码产品', '智能化', '周边产品', '人工智能', '通讯设备', '智能手机', '产品线', '智能']","[0.7786757946014404, 0.762278139591217, 0.7477660179138184, 0.7452753782272339, 0.7427867650985718, 0.7364493608474731, 0.7358599901199341, 0.7320935726165771, 0.7252724170684814, 0.7249794006347656]"
智能计算,"['人工智能', '智能化', '智能', '云计算', '机器学习', '智能家居', '智能客服', '物联网', '深度学习', '数字化']","[0.8421263098716736, 0.8290020823478699, 0.8079288601875305, 0.7882173657417297, 0.7586032152175903, 0.7479876279830933, 0.7444754838943481, 0.7439721822738647, 0.7428202629089355, 0.7363068461418152]"
智能搜索,"['智能', '智能化', '智能客服', '人工智能', '智能家居', '功能定位', '智能网', '物联网', '多功能', '功能']","[0.8196411728858948, 0.8132121562957764, 0.7811273336410522, 0.7454758882522583, 0.7448268532752991, 0.7366117835044861, 0.7258647680282593, 0.7182196974754333, 0.717748761177063, 0.71723473072052]"
人机对话,"['人工智能', '无人机', '机器人', '机器学习', '信息沟通', '无人化', '人机', '自动驾驶', '沟通', '智能客服']","[0.7621086239814758, 0.7613643407821655, 0.760810375213623, 0.7154263257980347, 0.7126632928848267, 0.7043026685714722, 0.7006930112838745, 0.6984147429466248, 0.6912409663200378, 0.6885349154472351]"
深度神经网络,"['深度学习', '机器学习', '人工智能', '神经', '网络体系', '物联网', '无线网络', '自动驾驶', '中国科学院计算技术研究所', '技术革新']","[0.8402207493782043, 0.8035752773284912, 0.7681127786636353, 0.7381141185760498, 0.6764443516731262, 0.6663467884063721, 0.6655291318893433, 0.6576194763183594, 0.6540138721466064, 0.6462562680244446]"
增强智能,"['智能', '智能化', '多功能', '人工智能', '多媒体', '智能家居', '一体化', '增强', '高性能', '功能']","[0.8780642747879028, 0.8640109896659851, 0.7832419872283936, 0.7775606513023376, 0.7631332278251648, 0.7593253254890442, 0.7536946535110474, 0.7523042559623718, 0.7521719932556152, 0.7505227327346802]"
语音交互,"['人工智能', '交互', '多媒体', '自动驾驶', '智能化', '机器学习', '深度学习', '数字家庭', '物联网', '语音']","[0.7746279239654541, 0.7699757218360901, 0.7547667026519775, 0.7328184843063354, 0.7289034128189087, 0.728757917881012, 0.7258737087249756, 0.7195467352867126, 0.7087372541427612, 0.7083402276039124]"
智能环保,"['节能', '智能化', '智能', '环保', '智能家居', '实用新型', '轻量化', '多功能', '环境保护', '智能手机']","[0.8353827595710754, 0.8179013133049011, 0.7951861619949341, 0.7745345830917358, 0.7470353841781616, 0.7456910014152527, 0.740182638168335, 0.7379815578460693, 0.7280263900756836, 0.7267712354660034]"
